Id Sensore,Data-Ora, Media
14055,2015/09/01 00:00,52.0
14055,2015/09/01 01:00,55.0
14055,2015/09/01 02:00,59.8
14055,2015/09/01 03:00,58.8
14055,2015/09/01 04:00,59.3
14055,2015/09/01 05:00,56.7
14055,2015/09/01 06:00,55.2
14055,2015/09/01 07:00,55.3
14055,2015/09/01 08:00,51.0
14055,2015/09/01 09:00,44.8
14055,2015/09/01 10:00,48.2
14055,2015/09/01 11:00,43.2
14055,2015/09/01 12:00,41.8
14055,2015/09/01 13:00,41.7
14055,2015/09/01 14:00,46.0
14055,2015/09/01 15:00,39.0
14055,2015/09/01 16:00,41.8
14055,2015/09/01 17:00,44.7
14055,2015/09/01 18:00,44.7
14055,2015/09/01 19:00,57.2
14055,2015/09/01 20:00,58.8
14055,2015/09/01 21:00,50.8
14055,2015/09/01 22:00,45.7
14055,2015/09/01 23:00,51.2
14055,2015/09/02 00:00,56.8
14055,2015/09/02 01:00,57.8
14055,2015/09/02 02:00,61.5
14055,2015/09/02 03:00,60.3
14055,2015/09/02 04:00,59.5
14055,2015/09/02 05:00,58.0
14055,2015/09/02 06:00,55.8
14055,2015/09/02 07:00,54.5
14055,2015/09/02 08:00,55.8
14055,2015/09/02 09:00,52.5
14055,2015/09/02 10:00,50.7
14055,2015/09/02 11:00,52.2
14055,2015/09/02 12:00,46.0
14055,2015/09/02 13:00,44.8
14055,2015/09/02 14:00,48.2
14055,2015/09/02 15:00,55.2
14055,2015/09/02 16:00,60.5
14055,2015/09/02 17:00,59.3
14055,2015/09/02 18:00,59.2
14055,2015/09/02 19:00,61.5
14055,2015/09/02 20:00,61.8
14055,2015/09/02 21:00,62.3
14055,2015/09/02 22:00,63.2
14055,2015/09/02 23:00,64.3
14055,2015/09/03 00:00,65.2
14055,2015/09/03 01:00,66.7
14055,2015/09/03 02:00,68.0
14055,2015/09/03 03:00,69.0
14055,2015/09/03 04:00,69.0
14055,2015/09/03 05:00,73.7
14055,2015/09/03 06:00,72.2
14055,2015/09/03 07:00,68.8
14055,2015/09/03 08:00,65.2
14055,2015/09/03 09:00,58.0
14055,2015/09/03 10:00,60.3
14055,2015/09/03 11:00,56.2
14055,2015/09/03 12:00,54.0
14055,2015/09/03 13:00,46.2
14055,2015/09/03 14:00,47.2
14055,2015/09/03 15:00,46.5
14055,2015/09/03 16:00,48.2
14055,2015/09/03 17:00,46.7
14055,2015/09/03 18:00,53.0
14055,2015/09/03 19:00,53.0
14055,2015/09/03 20:00,52.3
14055,2015/09/03 21:00,49.3
14055,2015/09/03 22:00,46.7
14055,2015/09/03 23:00,50.0
14055,2015/09/04 00:00,50.7
14055,2015/09/04 01:00,54.5
14055,2015/09/04 02:00,60.8
14055,2015/09/04 03:00,61.7
14055,2015/09/04 04:00,64.2
14055,2015/09/04 05:00,62.3
14055,2015/09/04 06:00,60.8
14055,2015/09/04 07:00,59.8
14055,2015/09/04 08:00,57.0
14055,2015/09/04 09:00,53.7
14055,2015/09/04 10:00,49.8
